Item,Quantity,UnitPrice,TotalCost
Bread,5,8.3,41.5
Coffee Powder,7,1.83,12.81
Butter,6,5.67,34.02
Jam,8,9.81,78.48
Choco Powder,1,7.41,7.41
Rice,3,3.5,10.5
Rice,8,8.02,64.16
Bread,7,3.25,22.75
Bread,10,4.96,49.6
Coffee Powder,2,9.68,19.36
Butter,6,8.83,52.98
Jam,7,8.87,62.09
Butter,1,6.39,6.39
Jam,4,1.93,7.72
Biscuit,2,3.34,6.68
Butter,6,9.05,54.3
Choco Powder,7,5.7,39.9
Biscuit,1,8.67,8.67
Milk,6,2.32,13.92
Choco Powder,8,4.28,34.24
Jam,7,8.58,60.06
Milk,9,6.0,54.0
Bread,3,2.0,6.0
Apple,7,3.92,27.44
Milk,5,8.64,43.2
Biscuit,9,2.53,22.77
Coffee Powder,7,9.27,64.89
Bread,3,8.93,26.79
Choco Powder,10,6.79,67.9
Bread,5,7.41,37.05
Jam,4,6.82,27.28
Apple,7,8.64,60.48
Rice,10,9.66,96.6
Coffee Powder,8,4.58,36.64
Apple,2,1.21,2.42
Butter,4,8.98,35.92
Choco Powder,7,6.11,42.77
Jam,3,3.57,10.71
Choco Powder,5,5.79,28.95
Biscuit,6,7.27,43.62
Coffee Powder,4,7.8,31.2
Coffee Powder,9,8.1,72.9
Coffee Powder,7,2.67,18.69
Coffee Powder,4,6.11,24.44
Jam,10,9.08,90.8
Flour,8,6.82,54.56
Choco Powder,10,7.08,70.8
Butter,2,3.03,6.06
Apple,5,9.82,49.1
Milk,1,9.54,9.54
Coffee Powder,3,3.72,11.16
Bread,4,1.94,7.76
Flour,5,5.36,26.8
Flour,7,1.63,11.41
Biscuit,2,1.26,2.52
Rice,8,8.09,64.72
Milk,3,5.71,17.13
Flour,6,1.23,7.38
Butter,1,5.52,5.52
Milk,9,4.0,36.0
Biscuit,8,6.69,53.52
Biscuit,10,1.16,11.6
Jam,7,5.09,35.63
Coffee Powder,6,9.83,58.98
Coffee Powder,5,9.58,47.9
Rice,7,3.29,23.03
Choco Powder,7,5.32,37.24
Butter,5,3.49,17.45
Apple,7,7.79,54.53
Flour,2,2.43,4.86
Butter,1,5.43,5.43
Apple,8,7.02,56.16
Biscuit,1,3.57,3.57
Choco Powder,10,4.67,46.7
Bread,10,6.46,64.6
Rice,8,1.43,11.44
Butter,5,1.64,8.2
Flour,2,6.63,13.26
Butter,8,5.98,47.84
Apple,9,6.19,55.71
Butter,7,4.76,33.32
Flour,6,3.29,19.74
Jam,7,9.14,63.98
Butter,2,3.3,6.6
Rice,4,7.97,31.88
Apple,5,5.23,26.15
Choco Powder,10,2.51,25.1
Biscuit,5,1.72,8.6
Flour,5,4.19,20.95
Milk,9,1.67,15.03
Butter,1,1.7,1.7
Bread,1,3.19,3.19
Jam,4,2.15,8.6
Butter,8,5.71,45.68
Rice,10,4.71,47.1
Milk,1,6.25,6.25
Jam,8,3.69,29.52
Flour,4,3.94,15.76
Flour,10,1.96,19.6
Butter,4,2.73,10.92
