Item,Quantity,UnitPrice
Potatoes,1,2.44
Banana,2,3.39
Banana,2,3.39
Tomatoes,6,2.2
Milk,10,0.66
Bread,9,0.73
Tomatoes,6,2.2
Chicken,8,0.93
Tomatoes,6,2.2
Banana,2,3.39
Chicken,8,0.93
Eggs,7,1.68
Chicken,8,0.93
Rice,4,3.86
Banana,2,3.39
Rice,4,3.86
Chicken,8,0.93
Milk,10,0.66
Bread,9,0.73
Chicken,8,0.93
Milk,10,0.66
Milk,10,0.66
Chicken,8,0.93
Rice,4,3.86
Eggs,7,1.68
Chicken,8,0.93
Rice,4,3.86
Banana,2,3.39
Milk,10,0.66
Banana,2,3.39
Milk,10,0.66
Rice,4,3.86
Eggs,7,1.68
Rice,4,3.86
Bread,9,0.73
Eggs,7,1.68
Banana,2,3.39
Chicken,8,0.93
Banana,2,3.39
Milk,10,0.66
Banana,2,3.39
Orange,2,3.06
Chicken,8,0.93
Tomatoes,6,2.2
Tomatoes,6,2.2
Rice,4,3.86
Rice,4,3.86
Bread,9,0.73
Orange,2,3.06
Eggs,7,1.68
Orange,2,3.06
Orange,2,3.06
Eggs,7,1.68
Chicken,8,0.93
Rice,4,3.86
Tomatoes,6,2.2
Chicken,8,0.93
Chicken,8,0.93
Chicken,8,0.93
Tomatoes,6,2.2
Bread,9,0.73
Orange,2,3.06
Banana,2,3.39
Potatoes,1,2.44
Milk,10,0.66
Orange,2,3.06
Milk,10,0.66
Chicken,8,0.93
Tomatoes,6,2.2
Potatoes,1,2.44
Apple,3,1.33
Rice,4,3.86
Rice,4,3.86
Apple,3,1.33
Apple,3,1.33
Bread,9,0.73
Eggs,7,1.68
Potatoes,1,2.44
Chicken,8,0.93
Eggs,7,1.68
Rice,4,3.86
Banana,2,3.39
Potatoes,1,2.44
Tomatoes,6,2.2
Bread,9,0.73
Banana,2,3.39
Milk,10,0.66
Tomatoes,6,2.2
Tomatoes,6,2.2
Rice,4,3.86
Potatoes,1,2.44
Apple,3,1.33
Banana,2,3.39
Milk,10,0.66
Banana,2,3.39
Orange,2,3.06
Banana,2,3.39
Potatoes,1,2.44
Chicken,8,0.93
Rice,4,3.86
